-3.141593	0.251422	-2.713833	-1.000000
-3.015929	0.251645	-2.718131	-0.984229
-2.890265	0.251653	-2.719310	-0.937166
-2.764602	0.251454	-2.717236	-0.859553
-2.638938	0.251058	-2.711881	-0.752613
-2.513274	0.250467	-2.703324	-0.618034
-2.387610	0.249683	-2.691746	-0.457937
-2.261947	0.248703	-2.677418	-0.274848
-2.136283	0.247524	-2.660683	-0.071654
-2.010619	0.246140	-2.641942	0.148441
-1.884956	0.244550	-2.621627	0.381966
-1.759292	0.242752	-2.600184	0.625237
-1.633628	0.240753	-2.578052	0.874419
-1.507964	0.238563	-2.555650	1.125581
-1.382301	0.236201	-2.533359	1.374763
-1.256637	0.233689	-2.511519	1.618034
-1.130973	0.231060	-2.490419	1.851559
-1.005310	0.228347	-2.470299	2.071654
-0.879646	0.225592	-2.451349	2.274848
-0.753982	0.222837	-2.433714	2.457937
-0.628319	0.220127	-2.417496	2.618034
-0.502655	0.217506	-2.402762	2.752613
-0.376991	0.215020	-2.389551	2.859553
-0.251327	0.212711	-2.377879	2.937166
-0.125664	0.210617	-2.367744	2.984229
0.000000	0.208774	-2.359138	3.000000
0.125664	0.207212	-2.352045	2.984229
0.251327	0.205956	-2.346450	2.937166
0.376991	0.205024	-2.342341	2.859553
0.502655	0.204427	-2.339710	2.752613
0.628319	0.204170	-2.338558	2.618034
0.753982	0.204248	-2.338887	2.457937
0.879646	0.204650	-2.340707	2.274848
1.005310	0.205357	-2.344025	2.071654
1.130973	0.206344	-2.348845	1.851559
1.256637	0.207576	-2.355157	1.618034
1.382301	0.209017	-2.362940	1.374763
1.507964	0.210622	-2.372143	1.125581
1.633628	0.212345	-2.382690	0.874419
1.759292	0.214138	-2.394465	0.625237
1.884956	0.215953	-2.407312	0.381966
2.010619	0.217741	-2.421028	0.148441
2.136283	0.219460	-2.435364	-0.071654
2.261947	0.221070	-2.450024	-0.274848
2.387610	0.222538	-2.464673	-0.457937
2.513274	0.223838	-2.478936	-0.618034
2.638938	0.224953	-2.492416	-0.752613
2.764602	0.225871	-2.504707	-0.859553
2.890265	0.226591	-2.515405	-0.937166
3.015929	0.227116	-2.524131	-0.984229
