0.000000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	0.002000	
0.020000	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	0.004002	
0.040000	0.006010	0.006010	0.006010	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	0.006011	
0.060000	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	0.008028	
0.080000	0.010057	0.010057	0.010057	0.010057	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	0.010058	
0.100000	0.012103	0.012103	0.012103	0.012103	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012104	0.012105	0.012105	0.012105	
0.120000	0.014169	0.014169	0.014169	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014171	0.014171	0.014171	0.014171	0.014171	0.014171	0.014171	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014170	0.014171	0.014171	0.014171	0.014171	0.014171	0.014171	0.014171	0.014172	
0.140000	0.016259	0.016259	0.016259	0.016260	0.016260	0.016260	0.016260	0.016260	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016260	0.016260	0.016260	0.016260	0.016260	0.016260	0.016260	0.016260	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016261	0.016262	0.016262	0.016262	0.016262	0.016262	0.016263	
0.160000	0.018377	0.018377	0.018378	0.018378	0.018378	0.018379	0.018379	0.018379	0.018379	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018380	0.018379	0.018379	0.018379	0.018379	0.018379	0.018379	0.018379	0.018379	0.018379	0.018379	0.018379	0.018379	0.018379	0.018380	0.018380	0.018380	0.018380	0.018380	0.018381	0.018381	0.018381	0.018382	0.018382	0.018382	
0.180000	0.020527	0.020528	0.020528	0.020529	0.020529	0.020530	0.020530	0.020531	0.020531	0.020531	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020532	0.020531	0.020531	0.020531	0.020531	0.020531	0.020531	0.020531	0.020531	0.020530	0.020530	0.020530	0.020531	0.020531	0.020531	0.020531	0.020531	0.020531	0.020532	0.020532	0.020533	0.020533	0.020533	0.020534	0.020534	0.020535	0.020535	
